,user_id,timestamp,method,file_url,file_size,n_like
228,522504,1370459804,POST,522504-218.dat,43180,0
229,522504,1370528592,POST,522504-21552.dat,38839,0
230,522504,1370529012,POST,522504-21549.dat,43894,1
231,522504,1370529388,POST,522504-21664.dat,17031,1
232,522504,1370529512,POST,522504-21675.dat,13494,1
233,522504,1371967890,GET,695058-283430.dat,89168,0
234,522504,1372245314,POST,522504-320045.dat,47481,0
235,522504,1372342843,POST,522504-325442.dat,38538,1
236,522504,1372382443,POST,522504-328174.dat,18447,0
237,522504,1372447959,POST,522504-334738.dat,14055,0
238,249125,1370459823,GET,338721-3985.dat,47400,0
239,74211,1370460102,GET,334085-77.dat,133095,0
240,74211,1370563859,GET,1326636-26247.dat,7192,0
241,1934961,1370460261,GET,964318-453.dat,66110,0
242,1934961,1370549333,GET,2386751-5704.dat,11824,0
243,3001142,1370460321,GET,1149288-443.dat,38967,0
244,3001142,1370977620,POST,3001142-105325.dat,34880,0
245,3001142,1370977621,GET,868790-105324.dat,33332,0
246,3001142,1370977622,POST,3001142-105336.dat,23445,0
247,3001142,1370978480,GET,741219-102221.dat,37449,0
248,3001142,1371231757,GET,1718320-481230.dat,9170,0
249,3001142,1371232720,GET,2298108-53713.dat,24721,0
250,1832345,1370460537,GET,403446-151.dat,32969,0
251,1832345,1370649634,GET,1033666-941.dat,27800,0
252,967946,1370460646,GET,365191-261.dat,56347,0
253,967946,1371014010,GET,1928920-122388.dat,36811,0
254,2592884,1370460918,GET,252890-1462.dat,71043,0
255,2592884,1370506637,POST,2592884-1493.dat,44071,0
256,2592884,1370763749,GET,1684965-341576.dat,43471,0
257,2592884,1370764476,GET,1697237-412083.dat,107423,0
258,2129734,1370461129,GET,2591469-69.dat,90791,0
259,3001875,1370461245,GET,811146-368.dat,48777,0
260,1097859,1370461278,GET,2257453-67.dat,61595,0
261,1097859,1370555119,GET,1758777-111002.dat,38613,0
262,1097859,1370563351,GET,1831789-205819.dat,15936,0
263,1097859,1370824829,GET,915378-279440.dat,182691,0
264,1097859,1371510198,GET,2874332-1238542.dat,43961,1
265,1097859,1371514666,POST,1097859-231571.dat,131841,0
266,1097859,1371811736,GET,2257453-1499396.dat,57310,0
267,2600943,1370461318,POST,2600943-693.dat,18958,0
268,2600943,1370461501,POST,2600943-717.dat,52262,0
269,2600943,1370461809,POST,2600943-1032.dat,23995,0
270,2600943,1370462598,POST,2600943-1376.dat,48430,0
271,2600943,1373629857,GET,749357-1037442.dat,41393,0
272,1385211,1370461452,GET,2948535-800.dat,42795,0
273,1385211,1370461513,GET,2948535-802.dat,24077,0
274,1385211,1370471883,GET,2049537-4988.dat,54451,0
275,1385211,1370472173,GET,730137-1364.dat,1111261,0
276,1385211,1370559968,GET,228155-7167.dat,43377,0
277,1385211,1370559968,GET,2332547-82.dat,29277,0
278,1385211,1370560269,GET,1497273-26992.dat,116593,0
279,1385211,1370560406,GET,1249568-15635.dat,83909,0
280,1385211,1370561142,GET,1249568-15635.dat,83909,0
281,1385211,1370561200,GET,228155-7167.dat,43377,0
282,1385211,1370970930,GET,2822735-115850.dat,22639,0
283,1385211,1370978082,GET,2219212-101131.dat,50898,0
284,1385211,1370978082,GET,1151351-101145.dat,15123,0
285,1385211,1370978203,GET,66299-51983.dat,106722,0
286,1385211,1370981259,GET,1443151-113210.dat,70632,0
287,1385211,1371226534,GET,492740-134481.dat,24968,0
288,1385211,1371685799,GET,1773913-94657.dat,42848,0
289,1385211,1371714127,GET,272447-236715.dat,75106,0
290,1385211,1371714127,GET,691613-236729.dat,56856,0
291,1385211,1371724167,POST,1385211-292884.dat,34082,0
292,1385211,1371734722,GET,1143077-228421.dat,36315,0
293,1385211,1371758914,GET,788638-454541.dat,36380,0
294,1385211,1371758989,GET,1129776-213007.dat,116510,0
295,1385211,1371847559,GET,910759-210390.dat,107697,0
296,1385211,1371983836,GET,97352-31459.dat,29821,0
297,1121421,1370461496,GET,252890-1462.dat,71043,0
298,1977521,1370461510,GET,2466672-382.dat,99118,0
299,1977521,1370465228,GET,1232119-4165.dat,88824,0
300,1977521,1370892520,GET,2493168-362358.dat,42349,0
301,1977521,1370978075,GET,1676119-341842.dat,72433,0
302,1977521,1371562691,GET,1381567-986214.dat,203143,0
303,1977521,1371672404,POST,1977521-246884.dat,113244,0
304,1977521,1371948335,GET,1277849-1356580.dat,102837,0
305,2996386,1370461884,GET,444905-717.dat,23371,0
306,2996386,1370462257,GET,2174645-773.dat,89994,0
307,2996386,1370462441,GET,216422-472.dat,95028,0
308,2996386,1370463182,GET,1193528-1626.dat,14313,0
309,2996386,1370483350,GET,50529-8882.dat,60937,0
310,2996386,1371174269,GET,1422997-90758.dat,88864,0
311,2996386,1371328455,GET,1904656-78268.dat,734200,0
312,2996386,1371471723,GET,1743654-163475.dat,100073,0
313,2996386,1371489723,GET,1883544-196285.dat,74391,0
314,2996386,1371490006,GET,80133-198074.dat,89936,0
315,2996386,1371493888,GET,1163727-193310.dat,129101,0
316,2996386,1371503967,GET,2711182-50676.dat,106076,0
317,2996386,1371626281,GET,666808-121055.dat,62623,0
318,2996386,1371926901,GET,2472289-224166.dat,60372,1
319,1178156,1370462757,GET,1416072-2347.dat,21998,0
320,2730788,1370462871,GET,1216978-1095.dat,30656,0
321,2730788,1370693864,POST,2730788-58616.dat,34017,0
322,2730788,1370847269,GET,1008135-33443.dat,72189,0
323,2730788,1371094185,GET,1136538-141871.dat,79997,1
324,2730788,1371277897,GET,1655556-173082.dat,141958,3
325,2730788,1371299778,GET,2209095-96536.dat,27505,0
326,2730788,1372165114,GET,371489-34094.dat,106024,0
327,2970028,1370463283,POST,2970028-4619.dat,153956,3
328,2970028,1370632938,GET,2983721-221873.dat,47993,3
329,2970028,1370632939,POST,2970028-194794.dat,27175,1
330,2970028,1370632942,GET,222107-221879.dat,345645,1
331,2970028,1370997624,GET,1338083-645336.dat,186679,1
332,2970028,1371764199,POST,2970028-1288074.dat,36204,1
333,2970028,1371933116,POST,2970028-1469066.dat,87630,1
334,2970028,1372181770,POST,2970028-1659691.dat,120229,1
335,532330,1370463706,GET,2800956-51.dat,70612,0
336,532330,1371262553,GET,32383-480399.dat,131745,0
337,2535302,1370464011,GET,2895455-231.dat,11698,0
338,2127676,1370464154,GET,165089-1637.dat,50631,0
339,2127676,1370464212,GET,1100721-1396.dat,13166,0
340,2127676,1370543810,GET,2154281-22765.dat,31716,0
341,2127676,1371056463,GET,717376-45654.dat,47164,0
342,2128894,1370464268,GET,504131-874.dat,27235,0
343,2719347,1370464573,POST,2719347-2134.dat,18724,1
344,2719347,1370655914,GET,269479-45156.dat,28496,1
345,2719347,1370686919,POST,2719347-53496.dat,7846,0
346,2719347,1370714174,POST,2719347-57993.dat,6058,1
347,2719347,1370724754,POST,2719347-64015.dat,23056,1
348,2719347,1370910400,POST,2719347-88597.dat,10891,0
349,2719347,1370947393,POST,2719347-98591.dat,8506,1
350,2719347,1370948721,GET,2910107-88770.dat,5396,1
351,2719347,1370974582,GET,2910107-88759.dat,10740,0
352,2719347,1371054969,POST,2719347-116529.dat,46949,2
353,2719347,1371069980,POST,2719347-118362.dat,25769,1
354,2719347,1371082163,POST,2719347-123905.dat,13219,0
355,2719347,1371118940,GET,943063-127435.dat,11924,0
356,2719347,1371207654,POST,2719347-134847.dat,26616,0
357,2719347,1371289791,POST,2719347-143297.dat,10850,0
358,2719347,1371324829,POST,2719347-146535.dat,23545,0
359,2719347,1371464505,GET,620552-160159.dat,35059,0
360,2719347,1371752754,POST,2719347-190544.dat,16921,0
361,2719347,1372069545,POST,2719347-248534.dat,12929,1
362,925828,1370464665,GET,2657184-1105.dat,80858,0
363,925828,1370639279,GET,2591503-45940.dat,43660,0
364,1986130,1370464756,POST,1986130-2153.dat,65966,0
365,1986130,1370465388,POST,1986130-2367.dat,40235,1
366,1986130,1370972386,POST,1986130-100835.dat,47968,0
367,1986130,1370972387,POST,1986130-100837.dat,63038,0
368,1986130,1370972442,POST,1986130-101163.dat,337830,0
369,1986130,1370974488,POST,1986130-103951.dat,258255,1
370,1986130,1370975116,POST,1986130-103142.dat,104706,0
371,2015720,1370464900,GET,842253-234.dat,129920,0
372,2998931,1370464908,GET,1870013-1674.dat,140656,0
373,2186433,1370465224,GET,1011458-3344.dat,57892,0
374,1500845,1370465358,GET,645486-158.dat,18277,0
375,2272133,1370466216,GET,1415275-5587.dat,79927,0
376,2272133,1370466216,GET,1415275-5587.dat,79927,0
377,2272133,1371478330,GET,2625462-108.dat,28867,0
