,user_id,timestamp,method,file_url,file_size,n_like,time_offset
1752,1848582,1371904949,GET,741263-210310.dat,13121,0,29780334
1753,1671255,1370693007,GET,238577-238492.dat,77244,0,28568392
1754,1671255,1370821079,GET,238577-483970.dat,48978,0,28696464
1755,1318296,1370693896,POST,1318296-54193.dat,41069,2,28569281
1756,964371,1370693896,POST,964371-54197.dat,11171,1,28569281
1757,964371,1371881863,POST,964371-218313.dat,22984,0,29757248
1758,964371,1371945482,POST,964371-228709.dat,44582,1,29820867
1759,964371,1371945482,POST,964371-228710.dat,81761,0,29820867
1760,2092601,1370694022,GET,1860352-10155.dat,112017,0,28569407
1761,2486156,1370697841,GET,1424093-131451.dat,28533,0,28573226
1762,2486156,1370863594,GET,481633-22817.dat,227115,3,28738979
1763,2486156,1371133490,POST,2486156-11303.dat,88803,0,29008875
1764,2486156,1373626300,POST,2486156-110257.dat,6446,0,31501685
1765,2130133,1370698814,GET,1217875-11812.dat,40661,0,28574199
1766,1859149,1370699320,GET,1347376-303895.dat,44660,0,28574705
1767,1395804,1370700721,POST,1395804-14010.dat,71316,2,28576106
1768,646331,1370704346,GET,2264915-212045.dat,34310,0,28579731
1769,2117036,1370708778,GET,2261885-61570.dat,77724,0,28584163
1770,2117036,1371158005,GET,2411708-148553.dat,43410,0,29033390
1771,2117036,1371829886,GET,2906120-284280.dat,225428,0,29705271
1772,2117036,1371896967,GET,454503-303542.dat,38293,0,29772352
1773,2117036,1371944769,GET,832837-24300.dat,72000,0,29820154
1774,1782148,1370711052,POST,1782148-58439.dat,25658,0,28586437
1775,1782148,1370963984,GET,2027595-98455.dat,107061,1,28839369
1776,1782148,1371223488,GET,1716911-24737.dat,99274,0,29098873
1777,1782148,1371275380,GET,376354-44533.dat,19447,0,29150765
1778,1782148,1372012888,GET,2524188-200930.dat,18831,0,29888273
1779,2905656,1370711295,GET,1008598-16111.dat,17486,0,28586680
1780,2594407,1370717347,GET,1705740-59122.dat,119223,0,28592732
1781,2594407,1371250116,GET,348016-161622.dat,27533,1,29125501
1782,1731601,1370718495,GET,871631-8033.dat,75813,0,28593880
1783,2923735,1370719925,GET,2151588-59989.dat,76584,0,28595310
1784,2923735,1370725219,GET,2151588-41671.dat,37555,0,28600604
1785,909659,1370720886,GET,2001810-14696.dat,18679,0,28596271
1786,2029265,1370723525,GET,212065-31892.dat,61917,0,28598910
1787,2064348,1370723743,GET,1049643-11332.dat,20758,0,28599128
1788,441783,1370725219,GET,2514041-51725.dat,72029,0,28600604
1789,441783,1371757320,GET,2228958-114794.dat,45681,0,29632705
1790,441783,1371770722,GET,1965144-124263.dat,94487,0,29646107
1791,2793560,1370725962,GET,1663173-40060.dat,81986,0,28601347
1792,910034,1370726685,GET,2216745-63093.dat,30455,0,28602070
1793,442744,1370727297,POST,442744-14915.dat,131366,1,28602682
1794,442744,1372118236,GET,2593839-83535.dat,90609,0,29993621
1795,591354,1370727367,GET,291769-48695.dat,115695,0,28602752
1796,2534226,1370728819,GET,1605815-65852.dat,68795,1,28604204
1797,2534226,1370728819,GET,1605815-65831.dat,81937,0,28604204
1798,2534226,1370919770,GET,390965-124979.dat,29884,0,28795155
1799,2534226,1371108251,POST,2534226-140008.dat,45901,1,28983636
1800,1683292,1370728819,POST,1683292-63954.dat,77653,0,28604204
1801,1683292,1371154405,GET,1685192-136905.dat,114690,0,29029790
1802,1448720,1370730285,GET,216314-59817.dat,55474,0,28605670
1803,1448720,1371700979,GET,840558-22276.dat,60143,0,29576364
1804,1448720,1371939288,GET,2327871-897.dat,31025,0,29814673
1805,1987594,1370730807,GET,1383470-13800.dat,14834,0,28606192
1806,1987594,1370730807,GET,1383470-13794.dat,27522,0,28606192
1807,1987594,1371000400,GET,208902-407052.dat,77391,0,28875785
1808,1987594,1371267097,GET,621586-19676.dat,243,0,29142482
1809,1987594,1371290357,GET,875410-35725.dat,111290,0,29165742
1810,1987594,1371522327,GET,1812750-47621.dat,85434,2,29397712
1811,1987594,1371603520,GET,1383470-47586.dat,59154,0,29478905
1812,1987594,1371604566,GET,1383470-46466.dat,51553,0,29479951
1813,1723714,1370731007,GET,2671874-161367.dat,36128,0,28606392
1814,921340,1370731356,GET,991702-64140.dat,66896,0,28606741
1815,454296,1370732953,POST,454296-66653.dat,110186,0,28608338
1816,454296,1370750729,GET,677167-63460.dat,27784,0,28626114
1817,2902300,1370732953,POST,2902300-66969.dat,20747,0,28608338
1818,975960,1370733485,POST,975960-74960.dat,71936,0,28608870
1819,171229,1370733885,GET,330047-42076.dat,42029,0,28609270
1820,2069010,1370735388,POST,2069010-60416.dat,65871,0,28610773
1821,2810177,1370735518,GET,1188602-213746.dat,180711,0,28610903
1822,430126,1370735532,GET,2883487-27951.dat,34079,0,28610917
1823,2654614,1370735667,POST,2654614-60740.dat,66619,1,28611052
1824,999241,1370737011,GET,1541371-74488.dat,71371,0,28612396
1825,999241,1371489130,GET,529728-189813.dat,110368,0,29364515
1826,170871,1370737485,GET,127434-28093.dat,95536,0,28612870
1827,170871,1371728936,POST,170871-228691.dat,82025,0,29604321
1828,170871,1371728936,GET,2650037-236888.dat,93000,1,29604321
1829,170871,1371728936,GET,1590869-204344.dat,81320,0,29604321
1830,45823,1370740227,GET,2879639-359640.dat,91059,0,28615612
1831,45823,1371166145,GET,2256892-13812.dat,38357,0,29041530
1832,45823,1371742927,GET,337113-227350.dat,67623,0,29618312
1833,2266870,1370740562,GET,1422997-48985.dat,96744,4,28615947
1834,2745950,1370740586,GET,590160-11785.dat,16055,0,28615971
1835,2745950,1371247117,GET,590160-48076.dat,29929,0,29122502
1836,2745950,1371463868,POST,2745950-49906.dat,72092,1,29339253
1837,2745950,1371710368,POST,2745950-99979.dat,71911,0,29585753
1838,2745950,1371828584,GET,62088-218947.dat,111445,0,29703969
1839,2745950,1371844286,GET,3525-69325.dat,64511,3,29719671
1840,476685,1370740685,POST,476685-74957.dat,293120,0,28616070
1841,66189,1370742156,GET,2811055-46677.dat,52804,0,28617541
1842,909630,1370744367,POST,909630-387940.dat,52498,0,28619752
1843,2334586,1370744680,GET,1484862-1334.dat,20742,0,28620065
1844,1384472,1370745125,GET,1049643-11332.dat,20758,0,28620510
1845,2156112,1370746231,GET,1005241-20163.dat,15226,0,28621616
1846,1849633,1370747016,GET,2176855-111995.dat,25597,0,28622401
1847,1512215,1370748343,GET,1699804-4903.dat,27509,0,28623728
1848,2258986,1370749035,GET,1663173-40060.dat,81986,0,28624420
1849,1370566,1370749205,POST,1370566-70500.dat,75522,0,28624590
1850,1370566,1371808617,POST,1370566-257936.dat,62086,0,29684002
1851,1370566,1373246521,POST,1370566-360968.dat,28850,2,31121906
1852,1857318,1370749205,GET,1370566-70500.dat,75522,0,28624590
1853,1857318,1370749205,GET,475471-70498.dat,31204,0,28624590
1854,2394976,1370750607,GET,1145143-4315.dat,1086814,0,28625992
1855,2394976,1370751293,GET,559186-16059.dat,31728,0,28626678
1856,1216065,1370750631,GET,2292060-295700.dat,43239,2,28626016
1857,2098970,1370752108,GET,2694526-14585.dat,60642,0,28627493
1858,2757697,1370752648,GET,931598-48335.dat,54499,0,28628033
1859,2034499,1370752805,GET,2005112-38780.dat,24028,0,28628190
1860,925468,1370753519,POST,925468-385050.dat,91021,1,28628904
1861,925468,1370814727,POST,925468-104727.dat,33037,1,28690112
1862,165821,1370754302,GET,595171-60376.dat,15525,0,28629687
1863,165821,1371100089,GET,1909502-118353.dat,20172,0,28975474
1864,165821,1371100650,GET,1909502-118351.dat,23108,0,28976035
1865,165821,1371100657,GET,1907338-120424.dat,22490,0,28976042
1866,165821,1371350807,GET,2506688-151023.dat,12764,0,29226192
1867,165821,1371856316,GET,441084-211224.dat,27342,0,29731701
1868,168924,1370754880,POST,168924-21086.dat,4558,0,28630265
1869,455243,1370755011,GET,489503-69731.dat,30160,0,28630396
1870,455243,1371207550,GET,828783-12598.dat,15337,0,29082935
1871,1033721,1370756405,GET,2325739-45483.dat,31023,0,28631790
1872,2388098,1370756405,GET,1618604-30413.dat,41964,0,28631790
1873,2388098,1371178116,GET,1618604-156408.dat,62569,0,29053501
1874,1865956,1370756405,GET,658265-59760.dat,55660,0,28631790
1875,672242,1370756405,GET,2151588-59991.dat,70564,0,28631790
1876,672242,1371150895,GET,2294887-149108.dat,90892,0,29026280
1877,672242,1371309787,GET,1109246-173115.dat,75829,0,29185172
1878,92873,1370757301,GET,1618604-30413.dat,41964,0,28632686
1879,2409372,1370757976,GET,1315075-41292.dat,44212,0,28633361
1880,163489,1370758085,GET,256851-12684.dat,100019,0,28633470
1881,2424157,1370758611,GET,122940-4374.dat,85184,0,28633996
1882,1380045,1370760005,GET,719257-13682.dat,73320,0,28635390
1883,164373,1370761457,GET,401146-8076.dat,61402,0,28636842
1884,164373,1370763251,GET,2558195-21408.dat,9119,0,28638636
1885,164373,1371273117,POST,164373-58975.dat,11298,0,29148502
1886,164373,1372014705,GET,2209635-264864.dat,15926,0,29890090
1887,1672538,1370761999,GET,2636633-164427.dat,90671,0,28637384
1888,2379836,1370762005,GET,64447-2429.dat,47048,0,28637390
1889,2257395,1370762285,GET,143180-71859.dat,64730,0,28637670
1890,1156860,1370762285,GET,1370566-70500.dat,75522,0,28637670
1891,1371255,1370762772,GET,2262209-3812.dat,261553,0,28638157
1892,1621697,1370763074,GET,2370688-12928.dat,116228,0,28638459
1893,2133431,1370764436,GET,1625326-178836.dat,78990,0,28639821
1894,2916061,1370764501,GET,757561-79956.dat,125597,1,28639886
1895,2916061,1372274311,POST,2916061-322477.dat,67119,1,30149696
1896,191639,1370764665,GET,550042-4648.dat,22144,0,28640050
1897,1036033,1370765346,GET,2945059-65262.dat,86136,1,28640731
1898,1036033,1370868787,GET,2441033-81025.dat,193239,2,28744172
1899,1036033,1371275372,GET,793298-47172.dat,29799,0,29150757
1900,1036033,1372038247,GET,1422997-207476.dat,126424,3,29913632
1901,1001455,1370765451,GET,781742-212467.dat,15943,0,28640836
1902,1001455,1370766390,GET,781742-212467.dat,15943,0,28641775
1903,2369131,1370765451,GET,2561168-261641.dat,36238,0,28640836
1904,47795,1370765811,POST,47795-71273.dat,69278,1,28641196
1905,47795,1371070029,GET,66099-136741.dat,34050,2,28945414
1906,47795,1371070029,GET,2511615-97239.dat,47480,2,28945414
1907,47795,1371269474,GET,1339743-165661.dat,116357,0,29144859
1908,2596427,1370765811,GET,2636993-51988.dat,25650,0,28641196
1909,1314711,1370766086,GET,1357146-259535.dat,516389,0,28641471
1910,925455,1370766410,GET,2413404-50589.dat,36448,0,28641795
1911,1779216,1370766421,GET,2390594-52867.dat,55059,0,28641806
1912,909609,1370766842,GET,1049643-11332.dat,20758,0,28642227
