,user_id,n_pin,n_followers,n_following,n_like,county,n_following_twitter,n_follower_twitter,n_tweet
7186,2191422,0,5,2,0,JP,,,
7187,2191424,0,8,8,1,JP,,,
7188,2191449,1,18,50,2,JP,,,
7189,2191452,3,20,31,2,JP,,,
7190,2191455,1,2,4,0,JP,,,
7191,2191459,525,10,17,1110,JP,,,
7192,2191463,1,3,54,4,JP,,,
7193,2191494,5,19,11,3,JP,,,
7194,2191497,5,3,0,1,JP,,,
7195,2192506,1,23,53,0,CN,,,
7196,2192607,27,7,13,6,KR,,,
7197,2192649,0,1,12,0,CN,,,
7198,2192867,0,2,2,1,KR,,,
7199,2192884,0,8,1,0,JP,,,
7200,2193036,92,3,62,29,CN,,,
7201,2193297,9,4,7,0,TR,,,
7202,2193350,0,12,58,0,TH,,,
7203,2193377,0,2,10,0,JP,,,
7204,2193757,13,12,58,1,TH,,,
7205,2194467,1,1,55,0,CN,,,
7206,2194480,1944,139,163,0,TH,,,
7207,2194583,157,41,15,2,ID,58.0,262.0,1341.0
7208,2194603,8,53,197,10,TH,,,
7209,2194623,43,11,15,1,JP,,,
7210,2194662,11598,683,169,341,JP,6220.0,5659.0,14004.0
7211,2194700,0,8,2,0,KR,,,
7212,2194785,4133,105,108,18,IL,,,
7213,2194789,131,5,5,84,KR,,,
7214,2194844,120,5,21,11,JP,,,
7215,2195083,0,6,16,1,IL,,,
7216,2195462,0,5,19,0,VN,,,
7217,2195647,0,10,22,7,TR,,,
7218,2195918,1623,51,320,1587,KR,,,
7219,2196212,0,5,23,2,JP,,,
7220,2196247,489,20,62,623,TR,,,
7221,2196705,0,3,18,0,JP,,,
7222,2197079,0,4,12,8,JP,,,
7223,2197262,162,55,38,1,CN,,,
7224,2197382,0,13,100,1,TR,,,
7225,2197532,107,13,32,2,TR,,,
7226,2197538,37,5,65,158,TR,,,
7227,2197624,0,6,14,0,JP,,,
7228,2197652,4,5,16,24,TR,,,
7229,2197868,0,16,16,0,VN,,,
7230,2197870,11,11,6,1,JP,134.0,369.0,4041.0
7231,2198212,2,4,87,10,TH,,,
7232,2198214,0,0,13,12,TH,,,
7233,2198222,4,10,72,3,TR,100.0,91.0,1692.0
7234,2198356,68,40,64,27,TH,,,
7235,2198430,8,23,28,5,TH,,,
7236,2198661,176,12,183,200,TH,1828.0,165.0,4512.0
7237,2198669,0,5,60,0,TH,,,
7238,2198691,350,22,106,1193,TH,,,
7239,2198719,0,2,36,0,TR,,,
7240,2198809,21,18,19,0,JP,,,
7241,2198810,0,6,1,0,JP,,,
7242,2198891,955,16,165,155,KR,,,
7243,2198973,34,11,74,51,TH,,,
7244,2198995,81,7,78,48,TH,,,
7245,2198998,0,3,54,108,TH,,,
7246,2199066,25,6,24,2,TH,,,
7247,2199067,0,3,62,1,TH,,,
7248,2199152,0,3,14,0,KR,,,
7249,2199169,8,32,17,5,KR,,,
7250,2199237,0,7,11,0,TH,,,
7251,2199293,1,13,8,8,TR,,,
7252,2199337,0,8,16,0,TR,,,
7253,2199345,61,25,118,35,TR,,,
7254,2199356,45,8,28,863,TR,46.0,20.0,97.0
7255,2199357,0,3,59,3,TR,,,
7256,2199358,0,6,5,0,TR,,,
7257,2199372,13,5,11,12,TR,,,
7258,2199388,0,4,53,7,TR,,,
