,user_id,n_pin,n_followers,n_following,n_like,county,n_following_twitter,n_follower_twitter,n_tweet
664,161272,49,5,74,83,BR,,,
665,161273,9,2,57,0,BR,,,
666,161279,4,8,49,0,BR,,,
667,161287,1,28,57,9,BR,,,
668,161290,14,7,13,118,BR,,,
669,161291,592,21,21,56,BR,,,
670,161294,77,2,55,1,BR,,,
671,161296,0,0,14,0,BR,,,
672,161307,4,5,1,0,BR,,,
673,161320,0,17,47,0,BR,,,
674,161325,42,11,120,68,BR,,,
675,161332,0,0,11,0,BR,,,
676,161386,4,8,19,5,BR,,,
677,161394,0,1,15,0,BR,,,
678,161408,226,8,50,4,BR,,,
679,161411,0,5,42,1,BR,,,
680,161413,111,1,66,92,BR,,,
681,161416,6,21,323,47,BR,,,
682,161417,0,1,14,0,BR,,,
683,161418,0,5,9,0,BR,,,
684,161420,0,35,54,0,BR,,,
685,161421,2,8,62,13,BR,,,
686,161425,0,6,57,3,BR,,,
687,161435,53,12,97,0,BR,,,
688,161438,0,25,7,0,BR,,,
689,161448,0,12,16,0,BR,,,
690,161469,0,1,61,0,BR,,,
691,161475,14,22,69,2,BR,,,
692,161480,90,18,27,86,BR,,,
693,161494,60,14,66,0,BR,,,
694,161559,0,19,53,0,BR,,,
695,161560,0,14,66,1,BR,,,
696,161561,2,14,13,38,BR,,,
697,161623,0,3,3,0,BR,,,
698,161665,8,1,68,6,BR,,,
699,161667,98,17,5,7,BR,,,
700,161706,0,1,56,0,BR,,,
701,161707,718,28,241,28,BR,331.0,494.0,4057.0
702,161713,0,1,56,1,BR,,,
703,161732,0,3,52,1,BR,,,
704,161748,97,5,100,36,BR,,,
705,161757,0,8,12,1,BR,,,
706,161790,1075,39,489,632,BR,,,
707,161798,153,11,75,25,BR,,,
